6579,สวทช.-62-004,โคปูลาหลายตัวแปรบนแผนภูมิควบคุม Hotelling' T2,-,6,-- ไม่ระบุ --,4,-- ไม่ระบุ --,4,-- ไม่ระบุ --,3,Eco,0,0,0,5508,2,งบประมาณภายนอกสถาบัน,10,งานวิจัยระดับชาติ,3,ระดับชาติ,สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,2562,250000.00,11,0,บุคคลภายนอก,1,ดร.ชุลีรัตน์ บรรจงลิขิตกุล,,,NULL,NULL,NULL,NULL,NULL,NULL,100,250000,0,ไม่ระบุ,2018-10-01,2019-09-30
6580,สวทช.-62-005,การสังเคราะห์และการศึกษาคุณลักษณะโครงสร้างของผงวัสดุผสมไฮดรอกซีอะพาไทต์คอลลาเจน,-,6,-- ไม่ระบุ --,4,-- ไม่ระบุ --,4,-- ไม่ระบุ --,3,Eco,0,0,0,5509,2,งบประมาณภายนอกสถาบัน,8,หน่วยงานให้ทุนวิจัย,3,ระดับชาติ,สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,2562,250000.00,12,0,บุคคลภายนอก,1,ดร.ชุลีรัตน์ บรรจงลิขิตกุล,,,NULL,NULL,NULL,NULL,NULL,NULL,100,250000,0,ไม่ระบุ,2018-10-01,2019-09-30
6588,NULL,การสร้างชุมชนเข้มแข็งด้วยกระบวนการจัดการความรู้ในการทำเกษตรอินทรีย์ของเกษตรกรผู้ปลูกพริกในอำเภอหนองม่วงไข่ จังหวัดแพร่,-,6,-- ไม่ระบุ --,4,-- ไม่ระบุ --,4,-- ไม่ระบุ --,1,-- ไม่ระบุ --,0,0,0,5517,1,งบประมาณภายในสถาบัน,2,งบภายในหน่วยงาน,1,ระดับคณะ/สำนักงาน,งบรายได้มหาวิทยาลัยแม่โจ้-แพร่,2562,30000.00,13,0,บุคคลภายนอก,1,ดร.ชุลีรัตน์ บรรจงลิขิตกุล,,,NULL,NULL,NULL,NULL,NULL,NULL,90,27000,0,ไม่ระบุ,2018-10-01,2019-09-30
6595,OT-61-040,ศึกษาการเจริญเติบโตและการให้ผลผลิตของกาแฟอาราบิกา(Coffea arabica L.) โดยการปลูกในระบบอินทรีย์,-,6,-- ไม่ระบุ --,4,-- ไม่ระบุ --,4,-- ไม่ระบุ --,1,-- ไม่ระบุ --,0,0,0,5524,10,ทุนส่วนตัว,12,ส่วนตัวของผู้วิจัย,5,อื่นๆ,ทุนส่วนตัว,2561,38200.00,14,0,บุคคลภายนอก,1,ดร.ชุลีรัตน์ บรรจงลิขิตกุล,,,NULL,NULL,NULL,NULL,NULL,NULL,50,19100,0,ไม่ระบุ,2017-10-01,2018-09-30
6597,OT-61-039,อิทธิพลของต้นตอต่อการเจริญเติบโต การให้ผลผลิตและคุณภาพขององุ่นไวน์พันธุ์ Syrah,-,6,-- ไม่ระบุ --,4,-- ไม่ระบุ --,4,-- ไม่ระบุ --,3,Eco,0,0,0,5526,10,ทุนส่วนตัว,12,ส่วนตัวของผู้วิจัย,5,อื่นๆ,ทุนส่วนตัว,2561,29700.00,15,0,บุคคลภายนอก,1,ดร.ชุลีรัตน์ บรรจงลิขิตกุล,,,NULL,NULL,NULL,NULL,NULL,NULL,50,14850,0,ไม่ระบุ,2017-10-01,2018-09-30
6702,วท2561-008,Saponin Quil A up-regulates type I interferon-regulated gene and type I and II interferon expressions which are suppressed by porcine reproductive and respiratory syndrome virus,Saponin Quil A up-regulates type I interferon-regulated gene and type I and II interferon expressions which are suppressed by porcine reproductive and respiratory syndrome virus,6,-- ไม่ระบุ --,4,-- ไม่ระบุ --,4,-- ไม่ระบุ --,3,Eco,0,0,0,5625,10,ทุนส่วนตัว,12,ส่วนตัวของผู้วิจัย,5,อื่นๆ,NULL,2561,0.00,17,0,บุคคลภายนอก,1,ดร.ชุลีรัตน์ บรรจงลิขิตกุล,,,NULL,NULL,NULL,NULL,NULL,NULL,90,0,0,ไม่ระบุ,2017-10-01,2018-09-30
6704,วท2561-009,Potential improvement of biogas production from fallen teak leaves with co-digestion of microalgae,Potential improvement of biogas production from fallen teak leaves with co-digestion of microalgae,6,-- ไม่ระบุ --,4,-- ไม่ระบุ --,4,-- ไม่ระบุ --,1,-- ไม่ระบุ --,0,0,1,5627,10,ทุนส่วนตัว,12,ส่วนตัวของผู้วิจัย,5,อื่นๆ,NULL,2561,0.00,18,0,บุคคลภายนอก,1,ดร.ชุลีรัตน์ บรรจงลิขิตกุล,,,NULL,NULL,NULL,NULL,NULL,NULL,60,0,0,ไม่ระบุ,2017-10-01,2018-09-30
6707,วท2561-010,Impact and significance of alkaline-oxidant pretreatment on the enzymatic digestibility of Sphenoclea zeylanica for bioethanol production,Impact and significance of alkaline-oxidant pretreatment on the enzymatic digestibility of Sphenoclea zeylanica for bioethanol production,6,-- ไม่ระบุ --,4,-- ไม่ระบุ --,4,-- ไม่ระบุ --,1,-- ไม่ระบุ --,0,0,1,5630,10,ทุนส่วนตัว,12,ส่วนตัวของผู้วิจัย,5,อื่นๆ,NULL,2561,0.00,19,0,บุคคลภายนอก,1,ดร.ชุลีรัตน์ บรรจงลิขิตกุล,,,NULL,NULL,NULL,NULL,NULL,NULL,50,0,0,ไม่ระบุ,2017-10-01,2018-09-30
6717,วท2561-011,Conductivity Modification of Carbon-Based Nanocomposites,Conductivity Modification of Carbon-Based Nanocomposites,6,-- ไม่ระบุ --,4,-- ไม่ระบุ --,4,-- ไม่ระบุ --,1,-- ไม่ระบุ --,0,0,1,5640,10,ทุนส่วนตัว,12,ส่วนตัวของผู้วิจัย,5,อื่นๆ,NULL,2561,0.00,20,0,บุคคลภายนอก,1,ดร.ชุลีรัตน์ บรรจงลิขิตกุล,,,NULL,NULL,NULL,NULL,NULL,NULL,95,0,0,ไม่ระบุ,2017-10-01,2018-09-30
6759,วศ.61-004-001,ค่าการนำไฟฟ้าของน้ำมะเกี๋ยงในระหว่างการให้ความร้อนแบบโอห์มมิค,-,2,การวิจัยประยุกต์,12,สาขาวิศวกรรมศาสตร์และอุตสาหกรรมวิจัย,1,งานวิจัยเชิงคุณภาพ,3,Eco,0,0,1,5682,10,ทุนส่วนตัว,12,ส่วนตัวของผู้วิจัย,5,อื่นๆ,NULL,2561,100000.00,21,0,บุคคลภายนอก,1,ดร.ชุลีรัตน์ บรรจงลิขิตกุล,,,NULL,NULL,NULL,NULL,NULL,NULL,50,50000,0,ไม่ระบุ,2017-10-01,2018-09-30
