id,url,type,decision,notes,protected,manual_capture,filename,checksum,priority,section,operator,timestamp,title,menu_label,page_type,assets
PAGE-1008,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=2022,page,keep,auto-classified:download,no,no,raw/pages/PAGE-1008.html,,, ,,,, ,download,images/logo.png;wtms_documentDownload.aspx?id=ODQxMjE=;wtms_documentDownload.aspx?id=ODQxMzk=;wtms_documentDownload.aspx?id=ODQxMzY=;wtms_documentDownload.aspx?id=ODQxMzc=;wtms_documentDownload.aspx?id=ODQxNDA=;wtms_documentDownload.aspx?id=ODQxMzg=
PAGE-1013,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=2042,page,keep,auto-classified:download,no,no,raw/pages/PAGE-1013.html,,, ,,,, ,download,images/logo.png;wtms_documentDownload.aspx?id=MTgzMDE=;wtms_documentDownload.aspx?id=MTgzMDI=;wtms_documentDownload.aspx?id=MTgzMDM=
PAGE-1016,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=2463,page,keep,auto-classified:download,no,no,raw/pages/PAGE-1016.html,,, ,,,, ,download,images/logo.png;wtms_documentDownload.aspx?id=ODI2NDQ=;wtms_documentDownload.aspx?id=ODc3OTY=;wtms_documentDownload.aspx?id=ODg1NzY=;wtms_documentDownload.aspx?id=ODQxODk=
PAGE-1017,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=2012,page,keep,auto-classified:download,no,no,raw/pages/PAGE-1017.html,,, ,,,, ,download,images/logo.png;wtms_documentDownload.aspx?id=ODI2NDI=;wtms_documentDownload.aspx?id=ODU0NzA=;wtms_documentDownload.aspx?id=ODY5MTQ=;wtms_documentDownload.aspx?id=ODE0MjY=
PAGE-1018,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=2013,page,keep,auto-classified:download,no,no,raw/pages/PAGE-1018.html,,, ,,,, ,download,images/logo.png;wtms_documentDownload.aspx?id=ODg1NzU=;wtms_documentDownload.aspx?id=ODYxMjQ=;wtms_documentDownload.aspx?id=ODYxMjU=;wtms_documentDownload.aspx?id=ODY5MTM=;wtms_documentDownload.aspx?id=ODU5MDg=
PAGE-1025,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=2064,page,keep,auto-classified:download,no,no,raw/pages/PAGE-1025.html,,, ,,,, ,download,images/logo.png;wtms_documentDownload.aspx?id=NDM2NTk=;wtms_documentDownload.aspx?id=NDI2NDA=;wtms_documentDownload.aspx?id=NDI1ODE=;wtms_documentDownload.aspx?id=NDI3NzE=;wtms_documentDownload.aspx?id=NDI2MjI=;wtms_documentDownload.aspx?id=NDI3NzQ=;wtms_documentDownload.aspx?id=NDI2NDE=;wtms_documentDownload.aspx?id=NDI1ODQ=;wtms_documentDownload.aspx?id=NDI4NjI=;wtms_documentDownload.aspx?id=NzE5MTI=;wtms_documentDownload.aspx?id=NDI1ODY=;wtms_documentDownload.aspx?id=NDI3NzI=;wtms_documentDownload.aspx?id=NTQxODc=;wtms_documentDownload.aspx?id=NDI3Nzg=;wtms_documentDownload.aspx?id=NDI2Mzk=;wtms_documentDownload.aspx?id=NDI2MDI=;wtms_documentDownload.aspx?id=NzQ0MDE=
PAGE-1009,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=2387,page,keep,institutional:organization-structure,no,no,raw/pages/PAGE-1009.html,,,about,,,โครงสร้างองค์กร,,about,images/logo.png;wtms_documentDownload.aspx?id=Njg0OTU=
PAGE-1010,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=1960,page,keep,institutional:management-structure,no,no,raw/pages/PAGE-1010.html,,,about,,,โครงสร้างการบริหารงาน,,about,images/logo.png;wtms_documentDownload.aspx?id=Njg0OTM=
PAGE-1011,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=1908,page,keep,institutional:leadership-structure,no,no,raw/pages/PAGE-1011.html,,,about,,,โครงสร้างผู้บริหาร,,about,images/logo.png;wtms_documentDownload.aspx?id=ODg1NzQ=
PAGE-1006,https://rae.mju.ac.th/wtms_contact.aspx?lang=th-TH,page,keep,,no,no,raw/pages/PAGE-1006.html,,,contact,,,ที่อยู่ติดต่อ,,contact,goverment/20130325103535_2013_rae/Logo_25580508150123_636182.png;https://erp.mju.ac.th/images/ribbon-black_68.png;wtms_system/images/logo-wtms.png
PAGE-1020,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=954,page,keep,contact-form-unit-contact,no,no,raw/pages/PAGE-1020.html,,,contact,,,ติดต่อหน่วยงาน,,contact,images/logo.png
PAGE-1012,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=1941,page,keep,auto-classified:download,no,no,raw/pages/PAGE-1012.html,,,download,,,,หน้าหลัก,download,images/logo.png;wtms_documentDownload.aspx?id=ODU0NTM=;wtms_documentDownload.aspx?id=NDE5NzI=;wtms_documentDownload.aspx?id=ODU0NTQ=;wtms_documentDownload.aspx?id=NDI1MTA=;wtms_documentDownload.aspx?id=ODU0Njk=;banners/grad2560.jpg;../index/images/newp.gif;../index/images/medical.png;../index/images/apremium.jpg;banners/banner_final.jpg;images/_confirm.jpg;../index/iPic/banner3.jpg;banners/banner4.jpg;../index/iPic/banner4-2.jpg;banners/confirmX.jpg;images/pundit_banner.png;banners/banner3.jpg;../index/banners/picture9.jpg;../index/banners/picture10.jpg;banners/freshyinfo.png;../index/banners/picture6.jpg;../index/banners/picture7.jpg;../index/banners/picture8.jpg;../index/banners/picture1.jpg;../index/banners/picture5.jpg;../index/banners/picture4.jpg;../index/banners/picture3.jpg;../index/banners/picture2.jpg;banners/faq.png;wtms_documentDownload.aspx?id=Mzk0NzE=;wtms_documentDownload.aspx?id=NDI2Mzg=;ac.th/directEnt/file/61_update29-8-60.pdf
PAGE-1019,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=1909,page,keep,auto-classified:download,no,no,raw/pages/PAGE-1019.html,,,download,,,Download,,download,images/logo.png;wtms_documentDownload.aspx?id=Mzk4MjM=
PAGE-1021,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=ODgzNjg=,page,keep,,no,no,raw/pages/PAGE-1021.html,,,download,,,,,download,
PAGE-1022,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/Doc_25690310092241_879433.pdf,page,keep,,no,no,raw/pages/PAGE-1022.html,,,download,,,,,download,
PAGE-1023,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/Doc_25690310092314_430623.pdf,page,keep,,no,no,raw/pages/PAGE-1023.html,,,download,,,,,download,
PAGE-1001,https://rae.mju.ac.th/wtms_index.aspx?&lang=th-TH,page,keep,auto-classified:home,no,no,raw/pages/PAGE-1001.html,,,home,,,สำนักวิจัยและส่งเสริมวิชาการการเกษตร มหาวิทยาลัยแม่โจ้,,home,goverment/20130325103535_2013_rae/Logo_25580508150123_636182.png;https://erp.mju.ac.th/images/ribbon-black_68.png;goverment/20130325103535_2013_rae/banner_25690319095324_957639.png;goverment/20130325103535_2013_rae/banner_25690311101352_474397.jpg;goverment/20130325103535_2013_rae/banner_25690311104023_228890.jpg;goverment/20130325103535_2013_rae/banner_25690306101947_370223.jpg;goverment/20130325103535_2013_rae/banner_25690216102413_343759.jpg;goverment/20130325103535_2013_rae/banner_25621111155137_788895.jpg;images/bgB.jpg;wtms_documentDownload.aspx?id=ODAxNzU=;wtms_documentDownload.aspx?id=ODAxNzk=;wtms_documentDownload.aspx?id=ODAxNzg=;wtms_documentDownload.aspx?id=NzE5ODY=;wtms_documentDownload.aspx?id=NzE5ODE=;wtms_documentDownload.aspx?id=NzE5ODQ=;wtms_documentDownload.aspx?id=ODU2MzU=;wtms_documentDownload.aspx?id=ODAxNjg=;wtms_documentDownload.aspx?id=ODA3NTU=;wtms_documentDownload.aspx?id=NzYzOTQ=;wtms_documentDownload.aspx?id=NzE5ODk=;wtms_documentDownload.aspx?id=NzE5OTI=;wtms_documentDownload.aspx?id=Nzc0MzI=;wtms_documentDownload.aspx?id=NzE5OTM=;wtms_documentDownload.aspx?id=NzE5OTE=;placeholder.png;goverment/20130325103535_2013_rae/Doc_25671008160853_758028.png;https://scdn.line-apps.com/n/line_add_friends/btn/th.png;wtms_documentDownload.aspx?id=ODcwNzU=;wtms_system/images/logo-wtms.png;https://rae.mju.ac.th/goverment/20130325103535_2013_rae/Doc_25690310092241_879433.pdf;https://rae.mju.ac.th/goverment/20130325103535_2013_rae/Doc_25690310092314_430623.pdf
PAGE-1002,https://rae.mju.ac.th/wtms_index.aspx?&lang=th-TH#,page,keep,auto-classified:home,no,no,raw/pages/PAGE-1002.html,,,home,,,สำนักวิจัยและส่งเสริมวิชาการการเกษตร มหาวิทยาลัยแม่โจ้,,home,goverment/20130325103535_2013_rae/Logo_25580508150123_636182.png;https://erp.mju.ac.th/images/ribbon-black_68.png;goverment/20130325103535_2013_rae/banner_25690319095324_957639.png;goverment/20130325103535_2013_rae/banner_25690311101352_474397.jpg;goverment/20130325103535_2013_rae/banner_25690311104023_228890.jpg;goverment/20130325103535_2013_rae/banner_25690306101947_370223.jpg;goverment/20130325103535_2013_rae/banner_25690216102413_343759.jpg;goverment/20130325103535_2013_rae/banner_25621111155137_788895.jpg;images/bgB.jpg;wtms_documentDownload.aspx?id=ODAxNzU=;wtms_documentDownload.aspx?id=ODAxNzk=;wtms_documentDownload.aspx?id=ODAxNzg=;wtms_documentDownload.aspx?id=NzE5ODY=;wtms_documentDownload.aspx?id=NzE5ODE=;wtms_documentDownload.aspx?id=NzE5ODQ=;wtms_documentDownload.aspx?id=ODU2MzU=;wtms_documentDownload.aspx?id=ODAxNjg=;wtms_documentDownload.aspx?id=ODA3NTU=;wtms_documentDownload.aspx?id=NzYzOTQ=;wtms_documentDownload.aspx?id=NzE5ODk=;wtms_documentDownload.aspx?id=NzE5OTI=;wtms_documentDownload.aspx?id=Nzc0MzI=;wtms_documentDownload.aspx?id=NzE5OTM=;wtms_documentDownload.aspx?id=NzE5OTE=;placeholder.png;goverment/20130325103535_2013_rae/Doc_25671008160853_758028.png;https://scdn.line-apps.com/n/line_add_friends/btn/th.png;wtms_documentDownload.aspx?id=ODcwNzU=;wtms_system/images/logo-wtms.png;https://rae.mju.ac.th/goverment/20130325103535_2013_rae/Doc_25690310092241_879433.pdf;https://rae.mju.ac.th/goverment/20130325103535_2013_rae/Doc_25690310092314_430623.pdf
PAGE-1003,https://rae.mju.ac.th/wtms_adminIndex.aspx,page,keep,admin-or-login-page - skip capture admin-or-login,yes,no,raw/pages/PAGE-1003.html,,,home,,,Sign in,,home,assets/img/mslogo.jpg;assets/img/ThaID.png;assets/img/MJUApp.png
